text,label,notes
このブランドの新商品、めちゃくちゃ美味しい！また買いたい！,positive,"enthusiastic, casual"
SNSでバズってたこれ、めっちゃ良かった,positive,
パケが可愛すぎて即買い💖,positive,
新作試したら大正解！これはリピ確,positive,
これうま過ぎて大優勝,positive,
想像より100倍うまい,positive,
今月の新作も激アツ！,positive,
バズってたこれ試したらめちゃよかった！,positive,
うますぎて死ぬww,positive,
新商品、レベル高すぎてびびった,positive,
届いた商品が壊れていた。最悪。二度と買わない,negative,"angry, direct"
悪くはないけど、わざわざまた買うほどでもない,negative,
あの接客態度は客をバカにしてる,negative,
こういう企業だと思ってた。二度と使わない,negative,
これ好きなやつ趣味悪,negative,
SNS上での投稿とリアルが違い過ぎて、マジ詐欺,negative,
別にリピはしない,negative,
これ美味しいって言ってる人、どこが良かったのか知りたい,negative,
バズってたから買ったけど、普通に期待外れだった,negative,
流行ってる理由が正直よく分からない,negative,
まあ、悪くはないけど、特別でもないかな〜,neutral,ambiguous/mixed
悪くないけど、また買うかは微妙,neutral,
可もなく不可もない,neutral,
一回行ったら満足って感じ。2回目は行かなくてもいい,neutral,
別に感動はない,neutral,
好きな人は好きなんだろうなって感じ。自分の好みではない,neutral,
行ったらとりあえず流行りには乗れる,neutral,
3時間かけたのに、微妙だった。どうもありがとう,neutral,
素晴らしいご意見、大変参考になりました,neutral,
相変わらず神対応だった,neutral,
