article_url,article_title,comment,sentiment,score,human_label
https://news.yahoo.co.jp/articles/c8c70d8d1fc78a28b1fbe9f08fdd052ae3f4058a,閉店間際のリサイクルショップで見つけた“マックの限定商品”→開けたら……　「お宝発見！」「ずっと気になってたのがまさかあるとは」…で使ってみた光景も写真で公開しており、車のヘッドレストに取り付けて、モスバーガーのドリンクとオニオンフライをセットした様子も紹介。マイメロのデザインが…ねとらぼライフ総合4/15(水) 21:00,"20年位前にこれとは違うドリンクホルダーに簡易的に挿して使えるマクドナルドのポテトホルダーをもらいました。
たしかポテトを買うとおまけでいただけたもので便利で今でも使用します。",positive,0.9553,positive
https://news.yahoo.co.jp/articles/c8c70d8d1fc78a28b1fbe9f08fdd052ae3f4058a,閉店間際のリサイクルショップで見つけた“マックの限定商品”→開けたら……　「お宝発見！」「ずっと気になってたのがまさかあるとは」…で使ってみた光景も写真で公開しており、車のヘッドレストに取り付けて、モスバーガーのドリンクとオニオンフライをセットした様子も紹介。マイメロのデザインが…ねとらぼライフ総合4/15(水) 21:00,おっさんですがクロミちゃんファンw ちっちゃくて可愛いのに何となくセクシーな悪の女幹部み漂うところがイイw クロミちゃんのだったらガチ欲しいが、人に見られたら恥ずかしいなw,positive,0.789,positive
https://news.yahoo.co.jp/articles/c8c70d8d1fc78a28b1fbe9f08fdd052ae3f4058a,閉店間際のリサイクルショップで見つけた“マックの限定商品”→開けたら……　「お宝発見！」「ずっと気になってたのがまさかあるとは」…で使ってみた光景も写真で公開しており、車のヘッドレストに取り付けて、モスバーガーのドリンクとオニオンフライをセットした様子も紹介。マイメロのデザインが…ねとらぼライフ総合4/15(水) 21:00,"先代の車に付けてた！
懐かしいなぁ。
ただヘッドレストはシミだらけになりましたねw",neutral,0.6016,neutral
https://news.yahoo.co.jp/articles/c8c70d8d1fc78a28b1fbe9f08fdd052ae3f4058a,閉店間際のリサイクルショップで見つけた“マックの限定商品”→開けたら……　「お宝発見！」「ずっと気になってたのがまさかあるとは」…で使ってみた光景も写真で公開しており、車のヘッドレストに取り付けて、モスバーガーのドリンクとオニオンフライをセットした様子も紹介。マイメロのデザインが…ねとらぼライフ総合4/15(水) 21:00,ほんで乗せてんのはモスの商品かい！,neutral,0.7395,neutral
https://news.yahoo.co.jp/articles/50d19d083c2feae14b3804a129e7b3d8f3b79316,永野芽郁に元マネージャー男性と“おそろいコーデ”旅行報道「二股疑惑」から1年、CM「ゼロ」で愛用ブランドに漂う未練…は甚大だったようだ。 「騒動前の永野さんは透明感のあるイメージから、モスバーガーやサントリー、JCBなど大手企業のCMに10社以上、出演していました。SmartFLASHエンタメ総合4/14(火) 18:00,"芸能人を目指す人なんて、みんな中身はこんな感じでしょう。CMとかのために良いイメージを作っているだけで、この方は隠さない不器用なだけ。

イメージと違う自分を無理して演じ続けて、広末みたいに最後はおかしくなる。
この方にとっては、あのまま行くより良かったのかも。",neutral,0.71,neutral
https://news.yahoo.co.jp/articles/50d19d083c2feae14b3804a129e7b3d8f3b79316,永野芽郁に元マネージャー男性と“おそろいコーデ”旅行報道「二股疑惑」から1年、CM「ゼロ」で愛用ブランドに漂う未練…は甚大だったようだ。 「騒動前の永野さんは透明感のあるイメージから、モスバーガーやサントリー、JCBなど大手企業のCMに10社以上、出演していました。SmartFLASHエンタメ総合4/14(火) 18:00,"どん底まで落ちたら、しばらくは大人しくがむしゃらに仕事に打ち込めばよかったのにね。まぁ仕事がないから男に走るしかないってかんじなのかな。
なんだか、この謎の自信はどこから出てくるんのだろう？この期に及んでまだ勝ち気すぎると益々誰からも相手にされなくなるね。",negative,0.603,negative
https://news.yahoo.co.jp/articles/50d19d083c2feae14b3804a129e7b3d8f3b79316,永野芽郁に元マネージャー男性と“おそろいコーデ”旅行報道「二股疑惑」から1年、CM「ゼロ」で愛用ブランドに漂う未練…は甚大だったようだ。 「騒動前の永野さんは透明感のあるイメージから、モスバーガーやサントリー、JCBなど大手企業のCMに10社以上、出演していました。SmartFLASHエンタメ総合4/14(火) 18:00,"常に男性がいないとダメなタイプの人っていますよね。
そういうタイプの人なのではないかと。
それがダメなわけではないけど、田中圭の件も有耶無耶に終わってるわけだし、
表舞台からいっそ降りたらいいのにと思います。",neutral,0.6424,neutral
https://news.yahoo.co.jp/articles/50d19d083c2feae14b3804a129e7b3d8f3b79316,永野芽郁に元マネージャー男性と“おそろいコーデ”旅行報道「二股疑惑」から1年、CM「ゼロ」で愛用ブランドに漂う未練…は甚大だったようだ。 「騒動前の永野さんは透明感のあるイメージから、モスバーガーやサントリー、JCBなど大手企業のCMに10社以上、出演していました。SmartFLASHエンタメ総合4/14(火) 18:00,元マネージャーだから気心知れた関係なのか恋愛に発展したかは知らないけど、仮にも元マネージャーなら永野さんの事を思ってしばらくは2ショット撮られない配慮したらいいのに。,neutral,0.6899,neutral
https://news.yahoo.co.jp/articles/50d19d083c2feae14b3804a129e7b3d8f3b79316,永野芽郁に元マネージャー男性と“おそろいコーデ”旅行報道「二股疑惑」から1年、CM「ゼロ」で愛用ブランドに漂う未練…は甚大だったようだ。 「騒動前の永野さんは透明感のあるイメージから、モスバーガーやサントリー、JCBなど大手企業のCMに10社以上、出演していました。SmartFLASHエンタメ総合4/14(火) 18:00,"女優はイメージが1番強いので、やはり信用回復するにはそれ相当の努力もしないとだけど、実際悪いイメージが付くと企業も使いたがらないでしょう。
それでもこの方は強メンタルなんですかね、あの一連の出来事も無視出来てるのは凄い。
でも実際どれだけ彼女を必要としてるんですかね。
中々女性はイメージ崩してしまうと同性からも嫌われてしまいますからね。この先上手く行くとは思えないんですが。",negative,0.5084,negative
https://news.yahoo.co.jp/articles/50d19d083c2feae14b3804a129e7b3d8f3b79316,永野芽郁に元マネージャー男性と“おそろいコーデ”旅行報道「二股疑惑」から1年、CM「ゼロ」で愛用ブランドに漂う未練…は甚大だったようだ。 「騒動前の永野さんは透明感のあるイメージから、モスバーガーやサントリー、JCBなど大手企業のCMに10社以上、出演していました。SmartFLASHエンタメ総合4/14(火) 18:00,"事あるごとにイケメンマネージャーと言われてたのでどんな人なのかと見に行ったけどイケメンは居なかった
若い時の芸人の誰かに似ているけど思い出せない
統一性がないところみると男なら誰でもなのかな
男を切らしたくない、居ないと生きてけないタイプなんでしょうね",negative,0.8503,negative
